d_first,d_last,d_busname,d_email,d_fulladdr,d_domain,d_city,d_state,d_zip,d_ticker,d_source
Shantanu,Narayen,oracle,,,oracle.com,,,,orcl,https://www.adobe.com/about-adobe/leaders.html
Scott,Belsky,oracle,,,oracle.com,,,,orcl,https://www.adobe.com/about-adobe/leaders.html
Bryan,Lamkin,oracle,,,oracle.com,,,,orcl,https://www.adobe.com/about-adobe/leaders.html
Ann,Lewnes,oracle,,,oracle.com,,,,orcl,https://www.adobe.com/about-adobe/leaders.html
John,Murphy,oracle,,,oracle.com,,,,orcl,https://www.adobe.com/about-adobe/leaders.html
Abhay,Parasnis,oracle,,,oracle.com,,,,orcl,https://www.adobe.com/about-adobe/leaders.html
Matt,Thompson,oracle,,,oracle.com,,,,orcl,https://www.adobe.com/about-adobe/leaders.html
Michael,Dell,dell,,,dell.com,,,,dell,https://corporate.delltechnologies.com/en-us/about-us/leadership.htm
Jeff,Clarke,dell,,,dell.com,,,,dell,https://corporate.delltechnologies.com/en-us/about-us/leadership.htm
Mike,Cote,dell,,,dell.com,,,,dell,https://corporate.delltechnologies.com/en-us/about-us/leadership.htm
Allison,Dew,dell,,,dell.com,,,,dell,https://corporate.delltechnologies.com/en-us/about-us/leadership.htm
Howard,Elias,dell,,,dell.com,,,,dell,https://corporate.delltechnologies.com/en-us/about-us/leadership.htm
Pat,Gelsinger,dell,,,dell.com,,,,dell,https://corporate.delltechnologies.com/en-us/about-us/leadership.htm
Marius,Haas,dell,,,dell.com,,,,dell,https://corporate.delltechnologies.com/en-us/about-us/leadership.htm
Rob,Mee,dell,,,dell.com,,,,dell,https://corporate.delltechnologies.com/en-us/about-us/leadership.htm
Steve,Price,dell,,,dell.com,,,,dell,https://corporate.delltechnologies.com/en-us/about-us/leadership.htm
Karen,Quintos,dell,,,dell.com,,,,dell,https://corporate.delltechnologies.com/en-us/about-us/leadership.htm
Rory,Read,dell,,,dell.com,,,,dell,https://corporate.delltechnologies.com/en-us/about-us/leadership.htm
Rich,Rothberg,dell,,,dell.com,,,,dell,https://corporate.delltechnologies.com/en-us/about-us/leadership.htm
Bill,Scannell,dell,,,dell.com,,,,dell,https://corporate.delltechnologies.com/en-us/about-us/leadership.htm
Tom,Sweet,dell,,,dell.com,,,,dell,https://corporate.delltechnologies.com/en-us/about-us/leadership.htm
Jeffrey,Bezos,Amazon,,,amazon.com,,,,amzn,https://ir.aboutamazon.com/board-of-directors
Brian,Olsavsky,Amazon,,,amazon.com,,,,amzn,https://ir.aboutamazon.com/board-of-directors
Jeffrey,Blackburn,Amazon,,,amazon.com,,,,amzn,https://ir.aboutamazon.com/board-of-directors
Andrew,Jassy,Amazon,,,amazon.com,,,,amzn,https://ir.aboutamazon.com/board-of-directors
Shelley,Reynolds,Amazon,,,amazon.com,,,,amzn,https://ir.aboutamazon.com/board-of-directors
Jeffrey,Wilke,Amazon,,,amazon.com,,,,amzn,https://ir.aboutamazon.com/board-of-directors
David,Zapolsky,Amazon,,,amazon.com,,,,amzn,https://ir.aboutamazon.com/board-of-directors
Dion,Weisler,Hewlett Packard,,,hp.com,,,,hpe,https://www8.hp.com/us/en/hp-information/executive-team/team.html?jumpid=in_r12137_us/en/corp/about_us/leadership/see-executive-team
Steve,Fieler,Hewlett Packard,,,hp.com,,,,hpe,
Alex,Cho,Hewlett Packard,,,hp.com,,,,hpe,
Enrique,Lores,Hewlett Packard,,,hp.com,,,,hpe,
Christoph,Schell,Hewlett Packard,,,hp.com,,,,hpe,
Stuart,Pann,Hewlett Packard,,,hp.com,,,,hpe,
Tracy,Keogh,Hewlett Packard,,,hp.com,,,,hpe,
Shane,Wall,Hewlett Packard,,,hp.com,,,,hpe,
Karen,Kahn,Hewlett Packard,,,hp.com,,,,hpe,
Richard,Bailey,Hewlett Packard,,,hp.com,,,,hpe,
Tian,Ng,Hewlett Packard,,,hp.com,,,,hpe,
Nick,Lazaridis,Hewlett Packard,,,hp.com,,,,hpe,
Kim,Rivera,Hewlett Packard,,,hp.com,,,,hpe,
Vikrant,Batra,Hewlett Packard,,,hp.com,,,,hpe,
